trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
184,False,"{'a': 0.98, 'e': 0.024299533012240124}",25,9,28.424189946168394,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
185,False,"{'a': 0.98, 'e': 0.023813542351995322}",20,16,9.030058302327731,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
186,False,"{'a': 0.98, 'e': 0.023337271504955414}",30,13,26.034310444012167,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
187,False,"{'a': 0.98, 'e': 0.022870526074856307}",20,2,23.425399812245214,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
188,False,"{'a': 0.98, 'e': 0.02241311555335918}",20,5,27.731961558466345,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
189,False,"{'a': 0.98, 'e': 0.021964853242291995}",25,11,24.00190027340948,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
190,False,"{'a': 0.98, 'e': 0.021525556177446156}",20,0,37.495575649348964,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
191,False,"{'a': 0.98, 'e': 0.02109504505389723}",20,4,29.193474083334575,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
192,False,"{'a': 0.98, 'e': 0.020673144152819286}",25,13,19.580888436841335,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
193,False,"{'a': 0.98, 'e': 0.0202596812697629}",25,17,17.026820050569818,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
194,False,"{'a': 0.98, 'e': 0.019854487644367643}",20,16,8.551361717826715,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
195,False,"{'a': 0.98, 'e': 0.01945739789148029}",25,16,16.66667759396279,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
196,False,"{'a': 0.98, 'e': 0.019068249933650683}",20,10,16.306407380270915,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
197,False,"{'a': 0.98, 'e': 0.01868688493497767}",35,17,31.609931561589093,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
198,False,"{'a': 0.98, 'e': 0.018313147236278113}",25,11,23.568501433345453,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
199,False,"{'a': 0.98, 'e': 0.017946884291552553}",25,12,25.27065237891122,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
200,False,"{'a': 0.98, 'e': 0.0175879466057215}",35,15,37.24524049534187,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
201,False,"{'a': 0.98, 'e': 0.01723618767360707}",20,2,33.604393133708456,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
202,False,"{'a': 0.98, 'e': 0.01689146392013493}",20,6,24.82145499503985,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
203,False,"{'a': 0.98, 'e': 0.01655363464173223}",20,6,26.957348265041592,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
204,False,"{'a': 0.98, 'e': 0.016222561948897585}",30,14,30.39457020898169,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
205,False,"{'a': 0.98, 'e': 0.015898110709919634}",30,4,31.276129887319815,"{0: 25, 1: 0, 2: 1, 3: 0, 4: 0}",1
206,False,"{'a': 0.98, 'e': 0.01558014849572124}",20,16,7.588052047054608,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
207,False,"{'a': 0.98, 'e': 0.015268545525806816}",30,7,41.0160902058075,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
208,False,"{'a': 0.98, 'e': 0.014963174615290679}",20,0,23.53244129045942,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
209,False,"{'a': 0.98, 'e': 0.014663911122984865}",25,12,21.761611413660813,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
210,False,"{'a': 0.98, 'e': 0.014370632900525168}",30,14,27.339975206138647,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
211,False,"{'a': 0.98, 'e': 0.014083220242514663}",25,8,25.243406976504946,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
212,False,"{'a': 0.98, 'e': 0.01380155583766437}",20,6,24.567966587282662,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
213,False,"{'a': 0.98, 'e': 0.013525524720911083}",25,7,30.50815908112714,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
214,False,"{'a': 0.98, 'e': 0.01325501422649286}",30,15,27.493234373845652,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
215,False,"{'a': 0.98, 'e': 0.012989913941963003}",35,12,47.66634284462293,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
216,False,"{'a': 0.98, 'e': 0.012730115663123744}",30,18,23.427256840314776,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
217,False,"{'a': 0.98, 'e': 0.012475513349861267}",25,13,21.89511694232101,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
218,False,"{'a': 0.98, 'e': 0.012226003082864043}",30,9,39.56852251992683,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
219,False,"{'a': 0.98, 'e': 0.011981483021206761}",25,14,11.037522015951833,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
220,False,"{'a': 0.98, 'e': 0.011741853360782626}",35,7,44.49254411412115,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 0}",1
221,False,"{'a': 0.98, 'e': 0.011507016293566973}",25,14,19.742806352769758,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
222,False,"{'a': 0.98, 'e': 0.011276875967695634}",30,12,35.045171287134224,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
223,False,"{'a': 0.98, 'e': 0.01105133844834172}",25,15,19.84244239026078,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
224,False,"{'a': 0.98, 'e': 0.010830311679374887}",30,23,14.396543888960995,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
225,False,"{'a': 0.98, 'e': 0.010613705445787387}",30,10,39.003361194905594,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
226,False,"{'a': 0.98, 'e': 0.01040143133687164}",20,7,23.123189404677095,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
227,False,"{'a': 0.98, 'e': 0.010193402710134207}",20,14,10.506739725864971,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
228,False,"{'a': 0.98, 'e': 0.009989534655931522}",30,13,31.628003695607813,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
229,False,"{'a': 0.98, 'e': 0.009789743962812892}",20,11,15.475188343609318,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
230,False,"{'a': 0.98, 'e': 0.009593949083556635}",30,19,21.360196585380127,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
231,False,"{'a': 0.98, 'e': 0.009402070101885502}",20,13,13.637336377393115,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
232,False,"{'a': 0.98, 'e': 0.009214028699847792}",20,13,11.862881754133117,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
233,False,"{'a': 0.98, 'e': 0.009029748125850836}",25,13,20.588521192815072,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
234,False,"{'a': 0.98, 'e': 0.008849153163333819}",35,7,45.45839718315422,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 0}",1
235,False,"{'a': 0.98, 'e': 0.008672170100067142}",25,20,10.708476402458905,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
236,False,"{'a': 0.98, 'e': 0.0084987266980658}",30,19,19.957487240954656,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
237,False,"{'a': 0.98, 'e': 0.008328752164104482}",25,13,25.18529377605629,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
238,False,"{'a': 0.98, 'e': 0.008162177120822393}",20,0,9.610308948049122,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
239,False,"{'a': 0.98, 'e': 0.007998933578405944}",20,11,15.145341757930826,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
240,False,"{'a': 0.98, 'e': 0.007838954906837826}",25,11,27.828566129064168,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
241,False,"{'a': 0.98, 'e': 0.007682175808701069}",25,20,9.09522776503589,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
242,False,"{'a': 0.98, 'e': 0.007528532292527048}",30,12,32.88901190490011,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
243,False,"{'a': 0.98, 'e': 0.007377961646676506}",20,5,28.030696359578045,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
244,False,"{'a': 0.98, 'e': 0.007230402413742976}",25,5,33.9298318954947,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
245,False,"{'a': 0.98, 'e': 0.007085794365468117}",25,8,33.86739321875672,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
246,False,"{'a': 0.98, 'e': 0.006944078478158754}",20,8,25.646838020109126,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
247,False,"{'a': 0.98, 'e': 0.0068051969085955785}",25,17,16.473480973759738,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
248,False,"{'a': 0.98, 'e': 0.006669092970423667}",20,3,33.78080457121078,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
249,False,"{'a': 0.98, 'e': 0.006535711111015194}",25,16,17.62357114910099,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
250,False,"{'a': 0.98, 'e': 0.00640499688879489}",20,6,28.88391662794776,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
251,False,"{'a': 0.98, 'e': 0.0062768969510189915}",20,3,31.110830840807736,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
252,False,"{'a': 0.98, 'e': 0.006151359011998612}",20,10,22.001356347951884,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
253,False,"{'a': 0.98, 'e': 0.00602833183175864}",35,19,30.023224071350302,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
254,False,"{'a': 0.98, 'e': 0.005907765195123467}",25,12,25.550075995279794,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
255,False,"{'a': 0.98, 'e': 0.005789609891220997}",20,6,26.47066566813385,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
256,False,"{'a': 0.98, 'e': 0.005673817693396577}",25,11,23.54954265077099,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
257,False,"{'a': 0.98, 'e': 0.0055603413395286455}",35,18,30.806247401132957,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
258,False,"{'a': 0.98, 'e': 0.005449134512738073}",30,19,19.8791657204402,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
259,False,"{'a': 0.98, 'e': 0.005340151822483311}",30,20,17.399318642063264,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
260,False,"{'a': 0.98, 'e': 0.005233348786033645}",25,5,31.911715613334874,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
261,False,"{'a': 0.98, 'e': 0.005128681810312972}",25,17,15.60836168442087,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
262,False,"{'a': 0.98, 'e': 0.005026108174106712}",25,5,38.1567898586331,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
263,False,"{'a': 0.98, 'e': 0.004925586010624578}",20,16,8.456521189037755,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,5,30.622342242051715,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",30,23,11.172743402982679,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,14,25.11912847977805,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,11,25.48093776852729,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,8,27.831419808510393,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,11,26.73760647816075,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,8,28.165808510785222,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",30,8,42.37145236092942,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",30,10,40.791020986767926,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,8,33.310868694532616,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
